transport_type,Location ID,Location Name,Name,ID,Department_zipcode,Key
bike,16381,Vélo,92100 - Boulogne Billancourt,76365,92100,bike92100
bike,16381,Vélo,Levallois,71154,92044,bike92044
bike,16381,Vélo,Neuilly - 92200,72581,92200,bike92200
bike,16381,Vélo,1 er arrondissement,66852,75001,bike75001
bike,16381,Vélo,2ème arrondissement,66841,75002,bike75002
bike,16381,Vélo,3ème arrondissement,66997,75003,bike75003
bike,16381,Vélo,4ème arrondissement,66995,75004,bike75004
bike,16381,Vélo,5ème arrondissement,69411,75005,bike75005
bike,16381,Vélo,6ème arrondissement,68934,75006,bike75006
bike,16381,Vélo,7ème arrondissement,66996,75007,bike75007
bike,16381,Vélo,8ème arrondissement,66998,75008,bike75008
bike,16381,Vélo,9ème arrondissement,66842,75009,bike75009
bike,16381,Vélo,10ème arrondissement,71820,75010,bike75010
bike,16381,Vélo,11ème arrondissement,66853,75011,bike75011
bike,16381,Vélo,12ème arrondissement,80392,75012,bike75012
bike,16381,Vélo,13ème arrondissement,76011,75013,bike75013
bike,16381,Vélo,14ème arrondissement,72582,75014,bike75014
bike,16381,Vélo,15ème arrondissement,71819,75015,bike75015
bike,16381,Vélo,16ème arrondissement,66994,75016,bike75016
bike,16381,Vélo,17ème arrondissement,66993,75017,bike75017
bike,16381,Vélo,18ème arrondissement,76364,75018,bike75018
bike,16381,Vélo,19ème arrondissement,76012,75019,bike75019
bike,16381,Vélo,20ème arrondissement,81669,75020,bike75020
car,16382,Voiture,92100 - Boulogne Billancourt,76367,92100,car92100
car,16382,Voiture,92400 - Levallois Perret,76760,92044,car92044
car,16382,Voiture,92200 - Neuilly sur Seine,80284,92200,car92200
car,16382,Voiture,1er arrondissement,67098,75001,car75001
car,16382,Voiture,2ème arrondissement,67099,75002,car75002
car,16382,Voiture,3ème arrondissement,67100,75003,car75003
car,16382,Voiture,4ème arrondissement,67101,75004,car75004
car,16382,Voiture,5ème arrondissement,74907,75005,car75005
